modelo,tarefas,pool,ms_medio,ms_std
1:1,10,1,1.6666666666666667,0.5773502691896257
1:1,10,2,1.6666666666666667,0.5773502691896258
1:1,10,4,1.6666666666666667,0.5773502691896257
1:1,10,12,2.3333333333333335,0.5773502691896258
1:1,10,24,2.0,0.0
1:1,100,1,19.333333333333332,0.5773502691896255
1:1,100,2,17.333333333333332,1.5275252316519465
1:1,100,4,16.333333333333332,0.5773502691896255
1:1,100,12,41.0,21.79449471770337
1:1,100,24,16.333333333333332,0.5773502691896255
1:1,500,1,105.33333333333333,12.74100990241093
1:1,500,2,81.66666666666667,3.5118845842842483
1:1,500,4,109.33333333333333,29.280255007997
1:1,500,12,87.0,8.54400374531753
1:1,500,24,88.0,3.605551275463989
1:1,1000,1,171.0,5.291502622129181
1:1,1000,2,155.0,2.6457513110645907
1:1,1000,4,238.33333333333334,126.27087286200778
1:1,1000,12,175.66666666666666,8.020806277010642
1:1,1000,24,187.0,29.46183972531247
N:M,10,1,6.0,2.6457513110645907
N:M,10,2,2.0,0.0
N:M,10,4,2.0,0.0
N:M,10,12,1.3333333333333333,0.5773502691896257
N:M,10,24,1.3333333333333333,0.5773502691896257
N:M,100,1,45.333333333333336,0.5773502691896263
N:M,100,2,26.0,6.082762530298219
N:M,100,4,13.0,1.7320508075688772
N:M,100,12,25.333333333333332,28.307831660749528
N:M,100,24,8.333333333333334,0.5773502691896258
N:M,500,1,227.66666666666666,1.5275252316519499
N:M,500,2,115.33333333333333,1.5275252316519452
N:M,500,4,68.66666666666667,10.408329997330663
N:M,500,12,34.666666666666664,1.5275252316519468
N:M,500,24,36.666666666666664,3.511884584284245
N:M,1000,1,453.3333333333333,1.1547005383792557
N:M,1000,2,231.66666666666666,2.309401076758505
N:M,1000,4,136.66666666666666,9.291573243177568
N:M,1000,12,66.0,4.358898943540674
N:M,1000,24,69.33333333333333,2.516611478423585
